String ID,en-us,en-zw,es-es
stringId_4ad1bf9dfdb8aabd,Sample String (38 &deg;C),ZW Sample String (38 &deg;C)/ZW,
stringId_d41d8cd98f00b204,,,
choice_yes_no,"[""Yes"", ""No""]","[""ㄚⓔⓢ"", ""几ⓞ""]","[""Si"", ""No""]"
choice_age_group,"[""An Adult (18+)"", ""A Child (17 and younger)""]","[""卂ⓝ 卂ⓓⓤⓛⓣ (18+)"", ""卂 匚ⓗⓘⓛⓓ (17 and younger)""]","[""Adulto (18 o más)"", ""Menor (17 o menos)""]"
covid19_hsc_ask_breathing_no_covid_positive,Are you having difficulty breathing?,卂ⓡⓔ ⓨⓞⓤ ⓗⓐⓥⓘⓝⓖ ⓓⓘⓕⓕⓘⓒⓤⓛⓣⓨ ⓑⓡⓔⓐⓣⓗⓘⓝⓖ?,¿Tiene dificultad para respirar?
covid19_hsc_ask_breathing_yes_covid_positive,Are you having difficulty breathing?,卂ⓡⓔ ⓨⓞⓤ ⓗⓐⓥⓘⓝⓖ ⓓⓘⓕⓕⓘⓒⓤⓛⓣⓨ ⓑⓡⓔⓐⓣⓗⓘⓝⓖ?,¿Tiene dificultad para respirar?
covid19_hsc_ask_covid_positive,Have you tested positive for COVID-19?,卄ⓐⓥⓔ ⓨⓞⓤ ⓣⓔⓢⓣⓔⓓ ⓟⓞⓢⓘⓣⓘⓥⓔ ⓕⓞⓡ 匚ㄖᐯ丨ᗪ-①⑨?,¿Tuvo una prueba positiva de COVID-19?
covid19_hsc_ask_exposure,Have you had known exposure to COVID-19 in the past 14 days?,卄ⓐⓥⓔ ⓨⓞⓤ ⓗⓐⓓ ⓚⓝⓞⓦⓝ ⓔⓧⓟⓞⓢⓤⓡⓔ ⓣⓞ 匚ㄖᐯ丨ᗪ-①⑨ ⓘⓝ ⓣⓗⓔ ⓟⓐⓢⓣ ①④ ⓓⓐⓨⓢ?,¿Usted sabe con seguridad que ha estado expuesto al COVID-19 en los últimos 14 días?
covid19_hsc_ask_symptoms_newworse,Have you either developed new symptoms or are your existing symptoms getting worse?,卄ⓐⓥⓔ ⓨⓞⓤ ⓔⓘⓣⓗⓔⓡ ⓓⓔⓥⓔⓛⓞⓟⓔⓓ ⓝⓔⓦ ⓢⓨⓜⓟⓣⓞⓜⓢ ⓞⓡ ⓐⓡⓔ ⓨⓞⓤⓡ ⓔⓧⓘⓢⓣⓘⓝⓖ ⓢⓨⓜⓟⓣⓞⓜⓢ ⓖⓔⓣⓣⓘⓝⓖ ⓦⓞⓡⓢⓔ?,¿Tiene síntomas nuevos o los síntomas que ya tenía se están poniendo peor?
covid19_hsc_ask_symptoms_no_travel,"Have you had any of the following:
- Fever greater than 100.4F (38.0C) for more than 24 hours
- Cough
- Trouble breathing
- Body aches
- Chills
- Diarrhea
- Headache
- Runny nose
- Sore throat","卄ⓐⓥⓔ ⓨⓞⓤ ⓗⓐⓓ ⓐⓝⓨ ⓞⓕ ⓣⓗⓔ ⓕⓞⓛⓛⓞⓦⓘⓝⓖ:
- 千ⓔⓥⓔⓡ ⓖⓡⓔⓐⓣⓔⓡ ⓣⓗⓐⓝ ①⓪⓪.④千 (38.0C) ⓕⓞⓡ ⓜⓞⓡⓔ ⓣⓗⓐⓝ ②④ ⓗⓞⓤⓡⓢ
- 匚ⓞⓤⓖⓗ
- ㄒⓡⓞⓤⓑⓛⓔ ⓑⓡⓔⓐⓣⓗⓘⓝⓖ
- 乃ⓞⓓⓨ ⓐⓒⓗⓔⓢ
- 匚ⓗⓘⓛⓛⓢ
- ᗪⓘⓐⓡⓡⓗⓔⓐ
- 卄ⓔⓐⓓⓐⓒⓗⓔ
- 尺ⓤⓝⓝⓨ ⓝⓞⓢⓔ
- 丂ⓞⓡⓔ ⓣⓗⓡⓞⓐⓣ","¿Ha tenido algo de lo siguiente?
- Fiebre de más de 100.4 F (38.0 &deg;C) por más de 24 horas
- Tos
- Dificultad para respirar
- Dolor de cuerpo
- Escalofríos
- Diarrea
- Dolor de cabeza
- Catarro, gripa
- Dolor de garganta"
